method,shots,seed,adapt_stage,seen_mean_accuracy,seen_mean_balanced_accuracy,seen_mean_average_precision,seen_mean_roc_auc
ftnet,1,0,0,0.5928092809280928,0.5928092809280928,0.8412235579319305,0.8142797628097643
ftnet,1,0,1,0.7152965296529653,0.7152965296529653,0.800547071324692,0.7622075213822013
ftnet,1,0,2,0.7093709370937095,0.7093709370937095,0.7823398060787404,0.7857417955016824
ftnet,1,0,3,0.7307980798079808,0.7307980798079808,0.8051024136857157,0.8102455710117465
ftnet,1,0,4,0.7125712571257126,0.7125712571257126,0.7998264368076675,0.7898873295670401
ftnet,1,1,0,0.5129012901290129,0.5129012901290129,0.5739773360468191,0.5731245441775901
ftnet,1,1,1,0.7237973797379738,0.7237973797379738,0.7934513913021344,0.7941514998584567
ftnet,1,1,2,0.7499416608327499,0.74994166083275,0.8292508035849654,0.8234272672191713
ftnet,1,1,3,0.7923417341734174,0.7923417341734172,0.8606847036483134,0.8764970393929082
ftnet,1,1,4,0.795979597959796,0.795979597959796,0.8673517143356744,0.882034703120277
ftnet,1,2,0,0.4340934093409341,0.4340934093409341,0.5141883598396652,0.4370151386575801
ftnet,1,2,1,0.5158265826582658,0.5158265826582658,0.5838925842352896,0.5690065906280597
ftnet,1,2,2,0.527952795279528,0.527952795279528,0.6753960123884571,0.6775700172277453
ftnet,1,2,3,0.5492799279927993,0.5492799279927992,0.709016498505687,0.7154931577266138
ftnet,1,2,4,0.6268326832683269,0.6268326832683269,0.7901400117578932,0.7934066974054141
ftnet,5,0,0,0.6483241620810405,0.6483241620810405,0.7641186720252995,0.7683016545791655
ftnet,5,0,1,0.7013006503251626,0.7013006503251625,0.8038465044769996,0.8116564860719504
ftnet,5,0,2,0.75967983991996,0.75967983991996,0.852993301924582,0.8706927967902578
ftnet,5,0,3,0.7764257128564283,0.7764257128564281,0.8711608800372287,0.8809160170380337
ftnet,5,0,4,0.802511255627814,0.802511255627814,0.8925127944639794,0.8954076097578554
ftnet,5,1,0,0.7082041020510255,0.7082041020510255,0.797322546443105,0.8107168541749614
ftnet,5,1,1,0.7478489244622311,0.7478489244622311,0.8470633811606834,0.8347466930063331
ftnet,5,1,2,0.7625812906453225,0.7625812906453225,0.8526014106718928,0.8449437191498869
ftnet,5,1,3,0.8082541270635317,0.8082541270635317,0.8872610764967426,0.8918626734577895
ftnet,5,1,4,0.8170885442721361,0.8170885442721361,0.8967149923778776,0.9084894643419759
ftnet,5,2,0,0.6231615807903952,0.6231615807903952,0.7738567220075983,0.7908793165967676
ftnet,5,2,1,0.6914207103551776,0.6914207103551775,0.843526953329296,0.8682523402771921
ftnet,5,2,2,0.6960480240120059,0.696048024012006,0.8444502622610859,0.8693045972711219
ftnet,5,2,3,0.7234492246123062,0.7234492246123062,0.848357452920304,0.8735811765312371
ftnet,5,2,4,0.7682841420710356,0.7682841420710356,0.8736176814474055,0.8955410501649024
ftnet,10,0,0,0.6222222222222222,0.6222222222222222,0.7704533201151186,0.7992946800654508
ftnet,10,0,1,0.7613613613613615,0.7613613613613613,0.8650379428293633,0.8816640063486911
ftnet,10,0,2,0.771237904571238,0.771237904571238,0.8821132183986057,0.9024943111279448
ftnet,10,0,3,0.7734609609609611,0.7734609609609611,0.8883985154549977,0.9053377326275224
ftnet,10,0,4,0.7863963963963964,0.7863963963963964,0.8960832039895876,0.9120255340425512
ftnet,10,1,0,0.7395395395395395,0.7395395395395395,0.8185130579173523,0.8313712661610559
ftnet,10,1,1,0.7966716716716716,0.7966716716716716,0.8934942290243827,0.8904695411126844
ftnet,10,1,2,0.8078912245578912,0.8078912245578912,0.8946651250880429,0.8984181144775071
ftnet,10,1,3,0.8284284284284285,0.8284284284284285,0.9100809880278282,0.9188338751664578
ftnet,10,1,4,0.8264464464464464,0.8264464464464464,0.9093585515684353,0.919980480981482
ftnet,10,2,0,0.6927927927927928,0.6927927927927928,0.8594436891478922,0.8640004368733097
ftnet,10,2,1,0.7748248248248248,0.7748248248248248,0.8890384668992519,0.904889138387637
ftnet,10,2,2,0.7916416416416417,0.7916416416416417,0.9064176452840395,0.921692989285582
ftnet,10,2,3,0.785085085085085,0.785085085085085,0.8976986396296899,0.9154840087835583
