experiment,method,adaptation_mode,reproduction_scope,decision_threshold,shots,seed,adapt_stage,adapt_generator,eval_stage,eval_generator,n,accuracy,balanced_accuracy,real_accuracy,fake_accuracy,average_precision,roc_auc,f1,official_balanced_accuracy,official_real_positive_average_precision_20
opensdi_fixed_checkpoint_diagnostic,clipdet,evaluation_only,official_released_inference,0.0,0,0,-1,joint,0,SD1.5,20000,0.6769,0.6769000000000001,0.9331,0.4207,0.8112948296833199,0.808053385,0.5656090346867437,,
opensdi_fixed_checkpoint_diagnostic,clipdet,evaluation_only,official_released_inference,0.0,0,0,-1,joint,1,SD2.1,20000,0.66085,0.66085,0.9915,0.3302,0.8926655702821413,0.88263413,0.4933144095017554,,
opensdi_fixed_checkpoint_diagnostic,clipdet,evaluation_only,official_released_inference,0.0,0,0,-1,joint,2,SDXL,20000,0.6202,0.6202,0.9899,0.2505,0.878805656899003,0.877130685,0.3974297953355545,,
opensdi_fixed_checkpoint_diagnostic,clipdet,evaluation_only,official_released_inference,0.0,0,0,-1,joint,3,SD3,20000,0.61435,0.61435,0.9902,0.2385,0.8794669949967655,0.878417805,0.3821196827685652,,
opensdi_fixed_checkpoint_diagnostic,clipdet,evaluation_only,official_released_inference,0.0,0,0,-1,joint,4,FLUX.1,20000,0.60325,0.60325,0.988,0.2185,0.8599463899784928,0.8574876749999999,0.35514018691588783,,
opensdi_fixed_checkpoint_diagnostic,omnidfa_detection,evaluation_only,official_released_authenticity_inference,-0.9916446805000305,0,0,-1,joint,0,SD1.5,20000,0.725,0.725,0.848,0.602,0.755969464084684,0.7620641200000001,0.6864310148232611,0.7250000238418579,0.6151642203330994
opensdi_fixed_checkpoint_diagnostic,omnidfa_detection,evaluation_only,official_released_authenticity_inference,-0.9916446805000305,0,0,-1,joint,1,SD2.1,20000,0.7839,0.7839,0.9479,0.6199,0.8352983204671248,0.8233363700000002,0.7415071770334928,0.7839000225067139,0.6391869783401489
opensdi_fixed_checkpoint_diagnostic,omnidfa_detection,evaluation_only,official_released_authenticity_inference,-0.9916446805000305,0,0,-1,joint,2,SDXL,20000,0.80375,0.80375,0.947,0.6605,0.8529498554413232,0.8398457500000001,0.770936679311351,0.8037500381469727,0.6669039726257324
opensdi_fixed_checkpoint_diagnostic,omnidfa_detection,evaluation_only,official_released_authenticity_inference,-0.9916446805000305,0,0,-1,joint,3,SD3,20000,0.75635,0.7563500000000001,0.9433,0.5694,0.8042636198173478,0.7818251450000001,0.7003259332144395,0.756350040435791,0.6493582129478455
opensdi_fixed_checkpoint_diagnostic,omnidfa_detection,evaluation_only,official_released_authenticity_inference,-0.9916446805000305,0,0,-1,joint,4,FLUX.1,20000,0.75675,0.75675,0.9435,0.57,0.8063560740701611,0.7831764049999999,0.700891484783277,0.7567499876022339,0.6578829884529114
