experiment,method,adaptation_mode,reproduction_scope,decision_threshold,shots,seed,adapt_stage,adapt_generator,eval_stage,eval_generator,n,accuracy,real_accuracy,fake_accuracy,average_precision,roc_auc,f1
genimage_ftnet_table2_public_protocol,ftnet,few_shot,paper_algorithm_unpublished_support_split,0.5,4,40,-1,joint,0,ADM,11992,0.8002001334222815,0.9546364242828552,0.6457638425617078,0.8959063078294951,0.8707854658275631,0.7637080867850099
genimage_ftnet_table2_public_protocol,ftnet,few_shot,paper_algorithm_unpublished_support_split,0.5,4,40,-1,joint,1,BigGAN,11992,0.9786524349566378,0.9573048699132756,1.0,0.999894425225156,0.9998953327123575,0.9790986283474853
genimage_ftnet_table2_public_protocol,ftnet,few_shot,paper_algorithm_unpublished_support_split,0.5,4,40,-1,joint,2,glide,11992,0.971314209472982,0.9546364242828552,0.9879919946631087,0.9969368533071441,0.9959188380423508,0.9717847769028871
genimage_ftnet_table2_public_protocol,ftnet,few_shot,paper_algorithm_unpublished_support_split,0.5,4,40,-1,joint,3,Midjourney,11992,0.9356237491661107,0.9591394262841895,0.912108072048032,0.979228215070675,0.9745599801691233,0.9340734415029889
genimage_ftnet_table2_public_protocol,ftnet,few_shot,paper_algorithm_unpublished_support_split,0.5,4,40,-1,joint,4,SD,39992,0.8613972794558912,0.9570914182836567,0.7657031406281256,0.9478663595735122,0.9384326167593992,0.8467302640674685
genimage_ftnet_table2_public_protocol,ftnet,few_shot,paper_algorithm_unpublished_support_split,0.5,4,40,-1,joint,5,VQDM,11992,0.6962975316877918,0.9539693128752502,0.43862575050033353,0.8418544274683917,0.8358036027798831,0.5908784542799371
genimage_ftnet_table2_public_protocol,ftnet_t,few_shot,paper_settings_plus_historical_official_training_loop,0.5,4,40,-1,joint,0,ADM,11992,0.8354736490993996,0.923282188125417,0.7476651100733822,0.921081152591932,0.9023326397051002,0.8196361641831977
genimage_ftnet_table2_public_protocol,ftnet_t,few_shot,paper_settings_plus_historical_official_training_loop,0.5,4,40,-1,joint,1,BigGAN,11992,0.9624749833222148,0.9249499666444296,1.0,0.9996480942821124,0.9996528706484777,0.963832181321331
genimage_ftnet_table2_public_protocol,ftnet_t,few_shot,paper_settings_plus_historical_official_training_loop,0.5,4,40,-1,joint,2,glide,11992,0.9543028685790527,0.9184456304202802,0.9901601067378252,0.9965811370206612,0.9954514650861305,0.955884720656899
genimage_ftnet_table2_public_protocol,ftnet_t,few_shot,paper_settings_plus_historical_official_training_loop,0.5,4,40,-1,joint,3,Midjourney,11992,0.939209472981988,0.9251167444963309,0.9533022014676451,0.9828849574756634,0.9799849888807347,0.9400542718526437
genimage_ftnet_table2_public_protocol,ftnet_t,few_shot,paper_settings_plus_historical_official_training_loop,0.5,4,40,-1,joint,4,SD,39992,0.9091818363672735,0.9239847969593918,0.8943788757751551,0.9684486146324233,0.9617703409155527,0.9078172588832487
genimage_ftnet_table2_public_protocol,ftnet_t,few_shot,paper_settings_plus_historical_official_training_loop,0.5,4,40,-1,joint,5,VQDM,11992,0.7671781187458305,0.920780520346898,0.6135757171447632,0.8746109366717482,0.8656540706924474,0.7249261083743842
