method,shots,seed,adapt_stage,seen_mean_accuracy,seen_mean_balanced_accuracy,seen_mean_average_precision,seen_mean_roc_auc
ftnet,10,42,0,0.9666666666666667,0.9666666666666667,1.0,1.0
ftnet,10,42,1,0.9666666666666667,0.9666666666666667,1.0,1.0
ftnet,10,42,2,0.9,0.9,0.9723671497584541,0.96
ftnet,10,42,3,0.7666666666666667,0.7666666666666666,0.9759432234432233,0.9777777777777777
ftnet,10,42,4,0.9666666666666667,0.9666666666666667,1.0,1.0
ftnet,10,42,5,1.0,1.0,1.0,1.0
ftnet_t,10,42,0,0.9666666666666667,0.9666666666666667,1.0,1.0
ftnet_t,10,42,1,0.9666666666666667,0.9666666666666667,1.0,1.0
ftnet_t,10,42,2,0.9,0.9,0.9657936507936506,0.9511111111111111
ftnet_t,10,42,3,0.8,0.8,0.9759432234432233,0.9777777777777777
ftnet_t,10,42,4,0.9666666666666667,0.9666666666666667,1.0,1.0
ftnet_t,10,42,5,1.0,1.0,1.0,1.0
