experiment,method,adaptation_mode,reproduction_scope,decision_threshold,shots,seed,adapt_stage,adapt_generator,eval_stage,eval_generator,n,accuracy,real_accuracy,fake_accuracy,average_precision,roc_auc,f1
opensdi_ftnet_table4_public_protocol,ftnet,few_shot,paper_algorithm_unpublished_support_split,0.5,8,40,-1,joint,0,SD1.5,19984,0.7474479583666933,0.6481184947958367,0.84677742193755,0.8344502564954204,0.844633312735056,0.7702671946834175
opensdi_ftnet_table4_public_protocol,ftnet,few_shot,paper_algorithm_unpublished_support_split,0.5,8,40,-1,joint,1,SD2.1,19984,0.852982385908727,0.7799239391513211,0.9260408326661329,0.9211324312346123,0.9309996536059912,0.8629919791083753
opensdi_ftnet_table4_public_protocol,ftnet,few_shot,paper_algorithm_unpublished_support_split,0.5,8,40,-1,joint,2,SDXL,19984,0.8431244995996797,0.7764211369095276,0.9098278622898318,0.9176237420315432,0.9248817839299462,0.8529342778064456
opensdi_ftnet_table4_public_protocol,ftnet,few_shot,paper_algorithm_unpublished_support_split,0.5,8,40,-1,joint,3,SD3,19984,0.8559347477982386,0.7770216172938351,0.9348478783026422,0.9356791471705763,0.9402596937437863,0.8664718705069339
opensdi_ftnet_table4_public_protocol,ftnet,few_shot,paper_algorithm_unpublished_support_split,0.5,8,40,-1,joint,4,FLUX.1,19984,0.8545336269015212,0.7868294635708567,0.9222377902321858,0.9297719752103696,0.9349443025196779,0.8637577916295637
opensdi_ftnet_table4_public_protocol,ftnet_t,few_shot,paper_settings_plus_historical_official_training_loop,0.5,8,40,-1,joint,0,SD1.5,19984,0.7513510808646917,0.7024619695756605,0.800240192153723,0.837043637790374,0.847159778463283,0.7629406993941129
opensdi_ftnet_table4_public_protocol,ftnet_t,few_shot,paper_settings_plus_historical_official_training_loop,0.5,8,40,-1,joint,1,SD2.1,19984,0.8531825460368294,0.8233586869495596,0.8830064051240992,0.9142896459225605,0.9255058370154892,0.8574344023323616
opensdi_ftnet_table4_public_protocol,ftnet_t,few_shot,paper_settings_plus_historical_official_training_loop,0.5,8,40,-1,joint,2,SDXL,19984,0.8360188150520417,0.8161529223378703,0.855884707766213,0.9105059024636617,0.9154804027369212,0.8392129924930082
opensdi_ftnet_table4_public_protocol,ftnet_t,few_shot,paper_settings_plus_historical_official_training_loop,0.5,8,40,-1,joint,3,SD3,19984,0.8633406725380304,0.8220576461168935,0.9046236989591674,0.9346861904972181,0.9370541218803705,0.8687587101734826
opensdi_ftnet_table4_public_protocol,ftnet_t,few_shot,paper_settings_plus_historical_official_training_loop,0.5,8,40,-1,joint,4,FLUX.1,19984,0.8609387510008006,0.8267614091273019,0.8951160928742994,0.9350789147371368,0.9366473863638549,0.8655344268640829
